farm_id,farm_name,farm_type,cow_id,animal_id,date,milk_yield_l,rumination_min,activity_rate,eating_min,standing_min,resting_min,data_collection_rate_pct,group_id,parity,days_in_milk,insemination_flag,pregnancy_status,data_source,productivity_class_demo
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-21,24.69,305.97,56.16,258.18,312.44,889.67,96.24,FARM-01-PEN-01,4,108,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-22,25.28,306.52,56.81,248.43,306.29,873.03,94.01,FARM-01-PEN-01,4,109,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-23,25.78,314.71,55.95,256.15,315.42,876.19,93.78,FARM-01-PEN-01,4,110,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-24,23.29,310.31,56.57,268.11,305.37,851.39,97.29,FARM-01-PEN-01,4,111,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-25,24.85,325.51,51.45,255.2,309.43,879.31,97.11,FARM-01-PEN-01,4,112,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-26,23.77,319.41,54.98,259.98,282.51,891.76,94.44,FARM-01-PEN-01,4,113,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-27,24.61,334.0,49.83,263.09,279.92,890.96,97.2,FARM-01-PEN-01,4,114,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-28,22.68,324.41,51.25,240.32,326.38,869.86,92.63,FARM-01-PEN-01,4,115,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-29,24.54,319.36,52.57,254.75,305.49,882.61,96.49,FARM-01-PEN-01,4,116,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-11-30,23.16,304.98,50.02,237.57,293.36,900.0,96.56,FARM-01-PEN-01,4,117,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-01,22.29,316.63,53.85,240.69,307.73,890.15,91.51,FARM-01-PEN-01,4,118,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-02,23.02,300.46,52.78,229.06,308.52,900.0,92.6,FARM-01-PEN-01,4,119,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-03,23.86,310.1,47.67,238.19,329.2,841.53,93.55,FARM-01-PEN-01,4,120,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-04,24.74,297.59,52.28,237.18,317.11,886.1,92.34,FARM-01-PEN-01,4,121,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-05,25.29,317.53,53.53,266.55,325.98,853.9,93.42,FARM-01-PEN-01,4,122,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-06,22.09,306.88,51.74,229.32,320.72,885.96,96.09,FARM-01-PEN-01,4,123,0,open,bootstrap/demo,medium
